day,month,year,rate
23,Mar,2017,0.703779
24,Mar,2017,0.703373
25,Mar,2017,0.702691
26,Mar,2017,0.702691
27,Mar,2017,0.704801
28,Mar,2017,0.70281
29,Mar,2017,0.7026
30,Mar,2017,0.701309
31,Mar,2017,0.701348
2,Apr,2017,0.700599
3,Apr,2017,0.69991
4,Apr,2017,0.69728
5,Apr,2017,0.694592
6,Apr,2017,0.697301
7,Apr,2017,0.695321
8,Apr,2017,0.693746
9,Apr,2017,0.693746
10,Apr,2017,0.69642
11,Apr,2017,0.6958
12,Apr,2017,0.69219
13,Apr,2017,0.701319
14,Apr,2017,0.700501
15,Apr,2017,0.70055
16,Apr,2017,0.699692
17,Apr,2017,0.702001
18,Apr,2017,0.702669
19,Apr,2017,0.700238
20,Apr,2017,0.701791
21,Apr,2017,0.702297
22,Apr,2017,0.703087
23,Apr,2017,0.703185
24,Apr,2017,0.701152
25,Apr,2017,0.694582
26,Apr,2017,0.687498
27,Apr,2017,0.686592
28,Apr,2017,0.686521
29,Apr,2017,0.686955
30,Apr,2017,0.68679
1,May,2017,0.690717
2,May,2017,0.69253
4,May,2017,0.685808
5,May,2017,0.691467
6,May,2017,0.692449
7,May,2017,0.692449
8,May,2017,0.690312
9,May,2017,0.689099
10,May,2017,0.694693
11,May,2017,0.684498
12,May,2017,0.685549
13,May,2017,0.685895
14,May,2017,0.686201
15,May,2017,0.688051
16,May,2017,0.688179
17,May,2017,0.693087
18,May,2017,0.691759
20,May,2017,0.692449
21,May,2017,0.692905
22,May,2017,0.699739
23,May,2017,0.701058
24,May,2017,0.70191
25,May,2017,0.704359
26,May,2017,0.705831
27,May,2017,0.706414
28,May,2017,0.706414
29,May,2017,0.705572
30,May,2017,0.709461
31,May,2017,0.70991
1,Jun,2017,0.70626
2,Jun,2017,0.713921
3,Jun,2017,0.714388
4,Jun,2017,0.714388
5,Jun,2017,0.714482
6,Jun,2017,0.718801
7,Jun,2017,0.719878
8,Jun,2017,0.721371
9,Jun,2017,0.720923
10,Jun,2017,0.721137
11,Jun,2017,0.721397
12,Jun,2017,0.720049
13,Jun,2017,0.722491
14,Jun,2017,0.730098
15,Jun,2017,0.720101
16,Jun,2017,0.725253
17,Jun,2017,0.725005
18,Jun,2017,0.725005
19,Jun,2017,0.723762
20,Jun,2017,0.723851
21,Jun,2017,0.721183
22,Jun,2017,0.727088
23,Jun,2017,0.72915
24,Jun,2017,0.728651
25,Jun,2017,0.728651
26,Jun,2017,0.729868
27,Jun,2017,0.72732
28,Jun,2017,0.7303
29,Jun,2017,0.728497
30,Jun,2017,0.73211
1,Jul,2017,0.732789
2,Jul,2017,0.732789
3,Jul,2017,0.729677
4,Jul,2017,0.729448
5,Jul,2017,0.727548
6,Jul,2017,0.727178
7,Jul,2017,0.727977
8,Jul,2017,0.728253
9,Jul,2017,0.7282
10,Jul,2017,0.726691
11,Jul,2017,0.722262
12,Jul,2017,0.72609
13,Jul,2017,0.731061
14,Jul,2017,0.732306
15,Jul,2017,0.734754
16,Jul,2017,0.734754
17,Jul,2017,0.732582
18,Jul,2017,0.735091
19,Jul,2017,0.735302
20,Jul,2017,0.741262
21,Jul,2017,0.743893
22,Jul,2017,0.745601
23,Jul,2017,0.745601
24,Jul,2017,0.74308
25,Jul,2017,0.742583
26,Jul,2017,0.74423
27,Jul,2017,0.749367
28,Jul,2017,0.750418
29,Jul,2017,0.751287
30,Jul,2017,0.751287
31,Jul,2017,0.749457
1,Aug,2017,0.747602
2,Aug,2017,0.744402
3,Aug,2017,0.743191
4,Aug,2017,0.741207
5,Aug,2017,0.741482
6,Aug,2017,0.740988
7,Aug,2017,0.735213
8,Aug,2017,0.73275
9,Aug,2017,0.73165
10,Aug,2017,0.7275
11,Aug,2017,0.731288
12,Aug,2017,0.731984
13,Aug,2017,0.731984
14,Aug,2017,0.729469
15,Aug,2017,0.723458
16,Aug,2017,0.726781
17,Aug,2017,0.730463
18,Aug,2017,0.732888
19,Aug,2017,0.731208
20,Aug,2017,0.731395
21,Aug,2017,0.732282
23,Aug,2017,0.720469
24,Aug,2017,0.721012
25,Aug,2017,0.724061
26,Aug,2017,0.724061
27,Aug,2017,0.724087
28,Aug,2017,0.725032
29,Aug,2017,0.725847
30,Aug,2017,0.720018
31,Aug,2017,0.71671
1,Sep,2017,0.716299
2,Sep,2017,0.71582
3,Sep,2017,0.715512
4,Sep,2017,0.717131
5,Sep,2017,0.724328
6,Sep,2017,0.721313
7,Sep,2017,0.722089
8,Sep,2017,0.727352
9,Sep,2017,0.726322
10,Sep,2017,0.726507
11,Sep,2017,0.7254
12,Sep,2017,0.728778
13,Sep,2017,0.723029
14,Sep,2017,0.719888
15,Sep,2017,0.73041
16,Sep,2017,0.729049
17,Sep,2017,0.729102
18,Sep,2017,0.725589
19,Sep,2017,0.731101
20,Sep,2017,0.739057
21,Sep,2017,0.731181
22,Sep,2017,0.732748
23,Sep,2017,0.733918
24,Sep,2017,0.73408
25,Sep,2017,0.727341
26,Sep,2017,0.71921
27,Sep,2017,0.723406
28,Sep,2017,0.722883
29,Sep,2017,0.722439
30,Sep,2017,0.71914
1,Oct,2017,0.722804
2,Oct,2017,0.71994
3,Oct,2017,0.71532
4,Oct,2017,0.716089
5,Oct,2017,0.712091
6,Oct,2017,0.708757
7,Oct,2017,0.709019
8,Oct,2017,0.709019
9,Oct,2017,0.707214
10,Oct,2017,0.707499
11,Oct,2017,0.707514
12,Oct,2017,0.712669
14,Oct,2017,0.716743
15,Oct,2017,0.718288
16,Oct,2017,0.718368
17,Oct,2017,0.716617
18,Oct,2017,0.714722
19,Oct,2017,0.702299
20,Oct,2017,0.696561
21,Oct,2017,0.696549
22,Oct,2017,0.696403
23,Oct,2017,0.696833
24,Oct,2017,0.689641
25,Oct,2017,0.68746
26,Oct,2017,0.684878
27,Oct,2017,0.686582
28,Oct,2017,0.68816
29,Oct,2017,0.687687
30,Oct,2017,0.687361
31,Oct,2017,0.683571
1,Nov,2017,0.689522
2,Nov,2017,0.691706
3,Nov,2017,0.690369
4,Nov,2017,0.690751
5,Nov,2017,0.690799
6,Nov,2017,0.691099
7,Nov,2017,0.689731
8,Nov,2017,0.691994
9,Nov,2017,0.694929
10,Nov,2017,0.692967
11,Nov,2017,0.692953
12,Nov,2017,0.692953
13,Nov,2017,0.689769
14,Nov,2017,0.688411
15,Nov,2017,0.687342
16,Nov,2017,0.68612
17,Nov,2017,0.680682
18,Nov,2017,0.681733
19,Nov,2017,0.681779
20,Nov,2017,0.681169
21,Nov,2017,0.68374
22,Nov,2017,0.685751
23,Nov,2017,0.688682
24,Nov,2017,0.688279
25,Nov,2017,0.687994
26,Nov,2017,0.687994
27,Nov,2017,0.691204
28,Nov,2017,0.693409
29,Nov,2017,0.689779
30,Nov,2017,0.684807
1,Dec,2017,0.689398
2,Dec,2017,0.688658
3,Dec,2017,0.688705
4,Dec,2017,0.68454
5,Dec,2017,0.687479
6,Dec,2017,0.687994
7,Dec,2017,0.684709
8,Dec,2017,0.684648
9,Dec,2017,0.684112
11,Dec,2017,0.691869
12,Dec,2017,0.692569
13,Dec,2017,0.698429
14,Dec,2017,0.69891
15,Dec,2017,0.700047
16,Dec,2017,0.699056
17,Dec,2017,0.699105
18,Dec,2017,0.700872
19,Dec,2017,0.6982
20,Dec,2017,0.698105
21,Dec,2017,0.70158
22,Dec,2017,0.701358
23,Dec,2017,0.702395
24,Dec,2017,0.702395
25,Dec,2017,0.703087
26,Dec,2017,0.702551
27,Dec,2017,0.706679
28,Dec,2017,0.708778
29,Dec,2017,0.7099
30,Dec,2017,0.708767
31,Dec,2017,0.710202
1,Jan,2018,0.705816
2,Jan,2018,0.710641
3,Jan,2018,0.710081
4,Jan,2018,0.714329
5,Jan,2018,0.71691
6,Jan,2018,0.716846
7,Jan,2018,0.716897
8,Jan,2018,0.71795
9,Jan,2018,0.718089
10,Jan,2018,0.71876
11,Jan,2018,0.724249
12,Jan,2018,0.724008
13,Jan,2018,0.725716
14,Jan,2018,0.725716
15,Jan,2018,0.731502
16,Jan,2018,0.727008
17,Jan,2018,0.729341
18,Jan,2018,0.731002
19,Jan,2018,0.7283
20,Jan,2018,0.727749
21,Jan,2018,0.727749
22,Jan,2018,0.730879
23,Jan,2018,0.734778
24,Jan,2018,0.7409
25,Jan,2018,0.737069
26,Jan,2018,0.734762
27,Jan,2018,0.734053
28,Jan,2018,0.734053
29,Jan,2018,0.730682
30,Jan,2018,0.733302
31,Jan,2018,0.737471
1,Feb,2018,0.739681
2,Feb,2018,0.731243
3,Feb,2018,0.7303
4,Feb,2018,0.7303
5,Feb,2018,0.728528
6,Feb,2018,0.730591
7,Feb,2018,0.728141
8,Feb,2018,0.720458
9,Feb,2018,0.725121
10,Feb,2018,0.7254
11,Feb,2018,0.7254
12,Feb,2018,0.72372
13,Feb,2018,0.728322
14,Feb,2018,0.732952
15,Feb,2018,0.738577
16,Feb,2018,0.739891
17,Feb,2018,0.738907
18,Feb,2018,0.738907
19,Feb,2018,0.73746
20,Feb,2018,0.735291
21,Feb,2018,0.733592
22,Feb,2018,0.735021
23,Feb,2018,0.729395
24,Feb,2018,0.729049
25,Feb,2018,0.729049
26,Feb,2018,0.731024
27,Feb,2018,0.724218
28,Feb,2018,0.722559
1,Mar,2018,0.725153
2,Mar,2018,0.723343
3,Mar,2018,0.723589
4,Mar,2018,0.723589
5,Mar,2018,0.723631
6,Mar,2018,0.729991
7,Mar,2018,0.726639
8,Mar,2018,0.725832
9,Mar,2018,0.72915
10,Mar,2018,0.728306
11,Mar,2018,0.728306
12,Mar,2018,0.728996
13,Mar,2018,0.734908
14,Mar,2018,0.732896
15,Mar,2018,0.727728
16,Mar,2018,0.721339
17,Mar,2018,0.721709
18,Mar,2018,0.721709
19,Mar,2018,0.723092
20,Mar,2018,0.718907
21,Mar,2018,0.71796
22,Mar,2018,0.722491
23,Mar,2018,0.726179
24,Mar,2018,0.723537
25,Mar,2018,0.723092
26,Mar,2018,0.729794
27,Mar,2018,0.728704
28,Mar,2018,0.722799
29,Mar,2018,0.722413
30,Mar,2018,0.723589
1,Apr,2018,0.724008
2,Apr,2018,0.721397
3,Apr,2018,0.726327
4,Apr,2018,0.73038
5,Apr,2018,0.72685
6,Apr,2018,0.727691
7,Apr,2018,0.726507
8,Apr,2018,0.726507
9,Apr,2018,0.732306
10,Apr,2018,0.736521
11,Apr,2018,0.736485
12,Apr,2018,0.737651
13,Apr,2018,0.73507
14,Apr,2018,0.736079
15,Apr,2018,0.736079
16,Apr,2018,0.736629
17,Apr,2018,0.733899
18,Apr,2018,0.732386
19,Apr,2018,0.72722
20,Apr,2018,0.72083
21,Apr,2018,0.721137
22,Apr,2018,0.720591
23,Apr,2018,0.715331
24,Apr,2018,0.712099
25,Apr,2018,0.706414
26,Apr,2018,0.707309
27,Apr,2018,0.707329
28,Apr,2018,0.707914
29,Apr,2018,0.707914
30,Apr,2018,0.705189
1,May,2018,0.701171
2,May,2018,0.700248
3,May,2018,0.703641
4,May,2018,0.702511
5,May,2018,0.701754
6,May,2018,0.701754
7,May,2018,0.702659
8,May,2018,0.697489
9,May,2018,0.698495
10,May,2018,0.695369
11,May,2018,0.69676
12,May,2018,0.696791
13,May,2018,0.696864
14,May,2018,0.69327
15,May,2018,0.68728
16,May,2018,0.690469
17,May,2018,0.688501
18,May,2018,0.691639
19,May,2018,0.692042
20,May,2018,0.691491
21,May,2018,0.692809
22,May,2018,0.692909
23,May,2018,0.689893
24,May,2018,0.692391
25,May,2018,0.692478
26,May,2018,0.691587
27,May,2018,0.691802
28,May,2018,0.69389
29,May,2018,0.690298
30,May,2018,0.698771
31,May,2018,0.69992
1,Jun,2018,0.6983
2,Jun,2018,0.698348
3,Jun,2018,0.6983
4,Jun,2018,0.703012
5,Jun,2018,0.702709
6,Jun,2018,0.70369
7,Jun,2018,0.702501
8,Jun,2018,0.703542
9,Jun,2018,0.703334
10,Jun,2018,0.703383
11,Jun,2018,0.702889
12,Jun,2018,0.702398
13,Jun,2018,0.704722
14,Jun,2018,0.699279
15,Jun,2018,0.693751
16,Jun,2018,0.69471
17,Jun,2018,0.694999
18,Jun,2018,0.692401
19,Jun,2018,0.689869
20,Jun,2018,0.687389
21,Jun,2018,0.687309
22,Jun,2018,0.691109
23,Jun,2018,0.690703
24,Jun,2018,0.690703
25,Jun,2018,0.688862
26,Jun,2018,0.685619
27,Jun,2018,0.679602
28,Jun,2018,0.675941
29,Jun,2018,0.67714
30,Jun,2018,0.677209
1,Jul,2018,0.676613
2,Jul,2018,0.669299
3,Jul,2018,0.674195
4,Jul,2018,0.676476
5,Jul,2018,0.67929
6,Jul,2018,0.68374
7,Jul,2018,0.684158
8,Jul,2018,0.684112
9,Jul,2018,0.6838
10,Jul,2018,0.683387
11,Jul,2018,0.677599
12,Jul,2018,0.6783
13,Jul,2018,0.67589
14,Jul,2018,0.676293
15,Jul,2018,0.676293
16,Jul,2018,0.67703
17,Jul,2018,0.677805
18,Jul,2018,0.680018
19,Jul,2018,0.671529
20,Jul,2018,0.680203
21,Jul,2018,0.681037
22,Jul,2018,0.68048
23,Jul,2018,0.678682
24,Jul,2018,0.679417
25,Jul,2018,0.680805
26,Jul,2018,0.679489
27,Jul,2018,0.679659
28,Jul,2018,0.678403
29,Jul,2018,0.678403
30,Jul,2018,0.68299
31,Jul,2018,0.681501
1,Aug,2018,0.679009
2,Aug,2018,0.675197
3,Aug,2018,0.675288
4,Aug,2018,0.674286
5,Aug,2018,0.674286
6,Aug,2018,0.673287
7,Aug,2018,0.673609
8,Aug,2018,0.674104
9,Aug,2018,0.662269
10,Aug,2018,0.658913
11,Aug,2018,0.658111
12,Aug,2018,0.658111
13,Aug,2018,0.658081
14,Aug,2018,0.657709
15,Aug,2018,0.656297
16,Aug,2018,0.658371
17,Aug,2018,0.660808
18,Aug,2018,0.663592
19,Aug,2018,0.663592
20,Aug,2018,0.6628
21,Aug,2018,0.66817
22,Aug,2018,0.669481
23,Aug,2018,0.664511
24,Aug,2018,0.66923
25,Aug,2018,0.668204
26,Aug,2018,0.668204
27,Aug,2018,0.67001
28,Aug,2018,0.672233
29,Aug,2018,0.670592
30,Aug,2018,0.664408
31,Aug,2018,0.661371
1,Sep,2018,0.661704
2,Sep,2018,0.661704
3,Sep,2018,0.660589
4,Sep,2018,0.65546
5,Sep,2018,0.658792
6,Sep,2018,0.659461
7,Sep,2018,0.653781
8,Sep,2018,0.65368
9,Sep,2018,0.65368
10,Sep,2018,0.653147
11,Sep,2018,0.650942
12,Sep,2018,0.65548
13,Sep,2018,0.656819
14,Sep,2018,0.654988
15,Sep,2018,0.655008
16,Sep,2018,0.655008
17,Sep,2018,0.658649
18,Sep,2018,0.657895
19,Sep,2018,0.66187
20,Sep,2018,0.66788
